Squad,Year,Rank.x,# Pl.x.x,90s.x.x,SCA,SCA90,PassLive,PassDead,TO,Sh.x,Fld,Def,GCA,GCA90,# Pl.y.x,90s.y.x,Gls,Sh.y,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK.x,PK,PKatt.x,xG,npxG,npxG/Sh,G-xG,np:G-xG,prop_SCA_dead,performance,Rank.y,# Pl.x.y,Poss,90s.x.y,Touches,Def Pen,Def 3rd.x,Mid 3rd.x,Att 3rd.x,Att Pen,Live,Att.x.x,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.x,PrgDist.x,PrgC,1/3.x,CPA,Mis,Dis,Rec,PrgR,# Pl.y.y,90s.y.y,Cmp.x,Att.y.x,Cmp%.x,TotDist.y,PrgDist.y,Ast,xAG,xA,A-xAG,KP,1/3.y,PPA,CrsPA,PrgP,takeons_per_match,prop_def_third,prop_mid_third,prop_att_third,kp_90,crosses_90,PrgP_90,PrgC_90,takeons_attempted_90,def_third_touches_90,mid_third_touches_90,att_third_touches_90,Rank,# Pl.x,MP,Starts,Min,90s.x,GA.x,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt.y,PKA.x,PKsv,PKm,# Pl.y,90s.y,GA.y,PKA.y,FK.y,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp.y,Att.x.y,Cmp%.y,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd.y,Mid 3rd.y,Att 3rd.y,Att.y.y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,opp_90,tkl_90,int_90,tkl_int_90,def_3rd_90,att_3rd_90,save_performance,prop_tkl_w
AEK Athens,18/19,GR,20,6,70,11.67,50,7,6,2,3,2,4,0.6699999999999999,20,6,2,39,9,23.1,6.5,1.5,0.05,0.22,17.2,0,0,0,4.7,4.7,0.12000000000000001,-2.7,-2.7,0.1,Underperformed,GR,20,40.8,6,3133,429,1064,1611,498,55,3133,87,48,55.2,39,44.8,1737,9883,4799,79,58,14,76,81,1913,142,20,6,1920,2510,76.5,35757,13318,2,4.3,3.8,-2.3,31,123,23,6,142,14.5,0.3396105968720077,0.5142036386849664,0.15895308011490583,5.166666666666667,1,23.666666666666668,13.166666666666666,14.5,177.33333333333334,268.5,83,GR,1,6,6,540,6,13,2.17,40,27,72.5,0,0,6,0,0,2,2,0,0,1,6,13,2,1,3,0,15.2,0.33999999999999997,2.2,0.37,66,145,45.5,155,16,69,44.5,116,5,4.3,2,0.32999999999999996,10.6,20,6,95,67,57,33,5,86,37.2,54,60,24,36,90,185,138,2,19.333333333333332,15.833333333333334,15,30.833333333333332,9.5,0.8333333333333334,Overperformed,0.7052631578947368
Ajax,18/19,SF,22,12,329,27.419999999999998,246,25,22,15,19,2,40,3.3299999999999996,22,12,22,183,68,37.2,15.25,5.67,0.11,0.29000000000000004,19.4,13,2,2,22.3,20.7,0.12000000000000001,-0.3,-0.7,0.07598784194528875,Underperformed,SF,22,52.9,12,7949,678,2244,3815,1967,307,7947,229,128,55.9,101,44.1,4666,23610,12171,236,175,59,205,124,5100,501,22,12,5137,6458,79.5,80365,28967,17,17.6,14.8,-0.6,139,358,112,9,504,19.083333333333332,0.2822996603346333,0.4799345829664109,0.24745250974965405,11.583333333333334,0.75,42,19.666666666666668,19.083333333333332,187,317.9166666666667,163.91666666666666,SF,1,12,12,1080,12,13,1.08,53,40,77.4,6,4,2,4,33.3,1,1,0,0,1,12,13,1,0,2,0,18.1,0.32999999999999996,5.1,0.42000000000000004,40,177,22.6,303,49,41.9,35,142,6,4.2,7,0.58,12.6,22,12,267,156,106,123,38,247,44.1,138,152,32,120,173,440,229,7,11.833333333333334,22.25,14.416666666666666,36.666666666666664,8.833333333333334,3.1666666666666665,Overperformed,0.5842696629213483
Ajax,19/20,GR,19,6,145,24.17,113,9,10,4,3,6,20,3.3299999999999996,19,6,10,76,24,31.6,12.67,4,0.13,0.42000000000000004,17.8,3,0,0,7.5,7.5,0.1,2.5,2.5,0.06206896551724138,Overperformed,GR,19,54.5,6,3968,374,1173,1768,1078,162,3968,93,61,65.6,32,34.4,2704,12766,6909,122,101,30,86,66,2574,272,19,6,2592,3278,79.1,40831,15061,10,6.8,7.2,3.2,62,189,70,15,273,15.5,0.2956149193548387,0.44556451612903225,0.2716733870967742,10.333333333333334,2.5,45.5,20.333333333333332,15.5,195.5,294.6666666666667,179.66666666666666,GR,1,6,6,540,6,6,1,30,24,86.7,3,1,2,3,50,3,2,0,1,1,6,6,2,0,1,0,11,0.31,5,0.8400000000000001,26,102,25.5,176,28,43.2,35.6,62,4,6.5,7,1.1700000000000002,13.9,19,6,146,74,53,63,30,143,42,83,48,18,30,85,231,92,4,10.333333333333334,24.333333333333332,14.166666666666666,38.5,8.833333333333334,5,Overperformed,0.5068493150684932
Ajax,20/21,GR,21,6,123,20.5,105,1,6,6,4,1,12,2,21,6,7,69,28,40.6,11.5,4.67,0.09,0.21000000000000002,19.3,2,1,1,8.1,7.3,0.11,-1.1,-1.3,0.008130081300813009,Underperformed,GR,21,56,6,4074,445,1457,1741,922,118,4073,107,71,66.4,36,33.6,2458,11957,6320,112,77,26,77,57,2597,252,21,6,2631,3408,77.2,45424,17489,5,5.7,5.8,-0.7,48,195,42,11,255,17.833333333333332,0.35763377515954836,0.4273441335297005,0.226313205694649,8,1.8333333333333333,42.5,18.666666666666668,17.833333333333332,242.83333333333334,290.1666666666667,153.66666666666666,GR,1,6,6,540,6,7,1.1700000000000002,28,22,78.6,2,1,3,0,0,1,1,0,0,1,6,7,1,0,0,1,8.4,0.27,2.4,0.41000000000000003,22,77,28.6,283,34,25.4,29.3,64,2,3.1,5,0.8300000000000001,15.9,21,6,107,57,47,40,20,96,41.7,56,75,17,58,75,182,110,7,10.666666666666666,17.833333333333332,12.5,30.333333333333332,7.833333333333333,3.3333333333333335,Overperformed,0.5327102803738317
Ajax,21/22,R16,21,8,237,29.62,199,16,9,7,5,1,38,4.75,21,8,21,128,48,37.5,16,6,0.16,0.42000000000000004,15.6,1,1,1,19,18.2,0.14,2,1.8,0.06751054852320675,Overperformed,R16,21,61.4,8,5808,416,1413,2600,1843,305,5807,157,82,52.2,74,47.1,3721,17529,9217,179,117,39,119,66,4140,505,21,8,4186,4952,84.5,69706,24237,16,14.1,13.7,1.9,107,344,146,27,509,19.625,0.24328512396694216,0.4476584022038568,0.3173209366391185,13.375,3.375,63.625,22.375,19.625,176.625,325,230.375,R16,2,8,8,720,8,8,1,22,15,72.7,6,1,1,2,25,2,2,0,0,2,8,8,2,0,0,1,10.1,0.38,3.1,0.39,21,56,37.5,246,21,20.3,22.4,71,0,0,6,0.75,20.2,21,8,145,95,49,69,27,133,41.4,78,94,18,76,63,208,102,3,8.875,18.125,7.875,26,6.125,3.375,Overperformed,0.6551724137931034
Ajax,22/23,GR,19,6,110,18.330000000000002,93,8,2,4,2,1,20,3.3299999999999996,19,6,11,64,22,34.4,10.67,3.67,0.16,0.45,17.6,0,1,1,8.3,7.5,0.12000000000000001,2.7,2.5,0.07272727272727272,Overperformed,GR,19,53.2,6,4006,479,1360,1802,871,138,4005,89,39,43.8,35,39.3,2570,10632,5067,80,68,20,83,52,2806,231,19,6,2834,3385,83.7,48341,15879,9,6.3,6.2,2.7,53,210,65,15,234,14.833333333333334,0.33949076385421867,0.44982526210683976,0.21742386420369444,8.833333333333334,2.5,39,13.333333333333334,14.833333333333334,226.66666666666666,300.3333333333333,145.16666666666666,GR,1,6,6,540,6,16,2.67,37,21,62.2,2,0,4,1,16.7,2,2,0,0,1,6,16,2,0,3,0,14.6,0.33999999999999997,-1.4,-0.24000000000000002,20,101,19.8,235,29,37.9,32.8,85,4,4.7,5,0.8300000000000001,12.4,19,6,110,60,44,50,16,104,60.6,41,62,15,47,53,163,109,5,14.166666666666666,18.333333333333332,8.833333333333334,27.166666666666668,7.333333333333333,2.6666666666666665,Underperformed,0.5454545454545454
Atalanta,19/20,QF,23,9,216,24,144,21,18,15,15,3,28,3.11,23,9,17,113,40,35.4,12.56,4.44,0.12000000000000001,0.32999999999999996,16.8,6,4,5,17.7,13.7,0.13,-0.7,-0.7,0.09722222222222222,Underperformed,QF,23,48.3,9,5349,472,1470,2530,1405,207,5344,149,92,61.7,57,38.3,3283,16536,8075,187,151,50,135,87,3390,332,23,9,3406,4327,78.7,56381,19444,9,10.8,9.2,-1.8,88,248,81,18,333,16.555555555555557,0.2748177229388671,0.4729856047859413,0.26266591886333895,9.777777777777779,2,37,20.77777777777778,16.555555555555557,163.33333333333334,281.1111111111111,156.11111111111111,QF,2,9,9,810,9,18,2,46,28,63,4,1,4,2,22.2,2,1,0,1,2,9,18,1,0,0,0,20.5,0.43000000000000005,2.5,0.27,40,106,37.7,167,28,35.9,34.8,98,3,3.1,9,1,15.3,23,9,161,87,78,75,8,213,42.7,122,86,23,63,106,267,166,3,10.88888888888889,17.88888888888889,11.777777777777779,29.666666666666668,8.666666666666666,0.8888888888888888,Overperformed,0.5403726708074534
Atalanta,20/21,R16,25,8,151,18.87,117,12,8,7,6,1,21,2.62,25,8,11,91,41,45.1,11.370000000000001,5.119999999999999,0.12000000000000001,0.27,17.2,3,0,0,11.7,11.7,0.13,-0.7,-0.7,0.07947019867549669,Underperformed,R16,25,46.5,8,5004,414,1562,2245,1239,167,5004,132,71,53.8,61,46.2,2500,13097,6282,141,122,45,137,73,3138,309,25,8,3158,4052,77.9,54011,21440,10,10,7.2,0,71,258,61,11,313,16.5,0.31215027977617904,0.44864108713029577,0.2476019184652278,8.875,1.375,39.125,17.625,16.5,195.25,280.625,154.875,R16,2,8,8,720,8,12,1.5,38,26,73.7,3,2,3,3,37.5,2,2,0,0,2,8,12,2,0,1,0,10.9,0.24000000000000002,-1.1,-0.14,51,95,53.7,150,31,39.3,28.3,81,5,6.2,8,1,16.8,25,8,139,76,64,56,19,151,35.8,97,98,29,69,140,279,144,3,10.125,17.375,17.5,34.875,8,2.375,Underperformed,0.5467625899280576
Atalanta,21/22,GR,21,6,152,25.330000000000002,119,11,7,8,4,3,23,3.8299999999999996,21,6,12,82,31,37.8,13.67,5.17,0.15000000000000002,0.39,18,3,0,0,10.2,10.2,0.13,1.8,1.8,0.07236842105263158,Overperformed,GR,21,52,6,3891,301,1142,1646,1137,148,3891,108,50,46.3,58,53.7,2151,11339,5609,133,101,40,134,65,2514,259,21,6,2537,3168,80.1,45131,15818,11,8.8,6.8,2.2,65,199,56,13,262,18,0.29349781547160114,0.4230274993574916,0.29221279876638395,10.833333333333334,2.1666666666666665,43.666666666666664,22.166666666666668,18,190.33333333333334,274.3333333333333,189.5,GR,1,6,6,540,6,13,2.17,34,21,61.8,1,3,2,1,16.7,0,0,0,0,1,6,13,0,0,3,0,12,0.35,-1,-0.16,22,58,37.9,134,28,23.9,30.4,61,2,3.3,7,1.1700000000000002,17.9,21,6,115,66,57,33,25,102,58.8,42,65,18,47,74,189,88,4,10.166666666666666,19.166666666666668,12.333333333333334,31.5,9.5,4.166666666666667,Underperformed,0.5739130434782609
Atlético Madrid,18/19,R16,21,8,163,20.37,121,17,6,8,8,3,19,2.3699999999999997,21,8,11,89,30,33.7,11.12,3.75,0.12000000000000001,0.37,18.4,4,0,0,8.1,8.1,0.09,2.9,2.9,0.10429447852760736,Overperformed,R16,21,48.9,8,5113,336,1176,2552,1434,175,5113,104,63,60.6,41,39.4,2824,14763,7479,151,125,32,106,69,3367,325,21,8,3398,4276,79.5,56377,19398,8,6.5,8.1,1.5,73,267,59,12,328,13,0.23000195579894386,0.4991198904752591,0.280461568550753,9.125,1.5,41,18.875,13,147,319,179.25,R16,1,8,8,720,8,9,1.1300000000000001,19,10,57.9,5,1,2,4,50,2,1,0,1,1,8,9,1,0,0,0,7.8,0.36,-1.2,-0.15000000000000002,37,107,34.6,102,9,50,38,110,0,0,0,0,11.8,21,8,121,78,60,46,15,120,43.3,68,72,18,54,110,231,168,3,13.75,15.125,13.75,28.875,7.5,1.875,Underperformed,0.6446280991735537
Atlético Madrid,19/20,QF,21,9.3,222,23.79,158,26,11,11,10,6,23,2.46,21,9.3,13,119,43,36.1,12.75,4.609999999999999,0.09,0.26,19.3,2,2,3,15.3,12.9,0.11,-2.3,-1.9,0.11711711711711711,Underperformed,QF,21,45.1,9.3,5607,571,1569,2615,1478,185,5604,138,84,60.9,54,39.1,2968,15235,7694,139,135,33,145,92,3442,382,21,9.3,3470,4514,76.9,57710,21604,9,10,10.8,-1,89,242,81,10,385,14.838709677419354,0.279828785446763,0.4663813090779383,0.26359907258783666,9.569892473118278,1.075268817204301,41.397849462365585,14.946236559139784,14.838709677419354,168.70967741935482,281.18279569892474,158.92473118279568,QF,1,9,9,840,9.3,9,0.96,30,22,70,5,1,3,4,44.4,0,0,0,0,1,9.3,9,0,1,0,1,8.5,0.29000000000000004,0.5,0.05,66,159,41.5,155,30,58.7,40.4,164,3,1.8,3,0.32,11.3,21,9.3,150,82,85,41,24,167,37.7,104,80,27,53,101,251,234,4,17.634408602150536,16.129032258064516,10.86021505376344,26.989247311827956,9.139784946236558,2.5806451612903225,Overperformed,0.5466666666666666
Atlético Madrid,20/21,R16,20,8,167,20.87,131,14,5,9,8,0,13,1.62,20,8,7,95,31,32.6,11.870000000000001,3.8699999999999997,0.07,0.23,18.1,3,0,0,9.2,9.2,0.1,-2.2,-2.2,0.08383233532934131,Underperformed,R16,20,49.1,8,5045,463,1398,2284,1404,193,5045,144,98,68.1,46,31.9,2475,13206,7116,157,118,31,115,59,3233,351,20,8,3258,4181,77.9,53423,18979,6,7.8,9,-1.8,65,243,82,13,355,18,0.27710604558969276,0.4527254707631318,0.2782953419226957,8.125,1.625,44.375,19.625,18,174.75,285.5,175.5,R16,1,8,8,720,8,11,1.37,24,14,62.5,2,3,3,2,25,2,2,0,0,1,8,11,2,0,0,1,9.7,0.32,-0.3,-0.04,41,119,34.5,147,30,55.8,38.8,93,3,3.2,4,0.5,14.3,20,8,123,73,53,51,19,149,47,79,88,26,62,94,217,168,1,11.625,15.375,11.75,27.125,6.625,2.375,Underperformed,0.5934959349593496
Atlético Madrid,21/22,QF,22,10,154,15.4,113,9,10,13,6,3,15,1.5,22,10,9,95,25,26.3,9.5,2.5,0.08,0.32,17.9,4,1,1,12.2,11.4,0.13,-3.2,-3.4,0.05844155844155844,Underperformed,QF,22,40.6,10,4965,573,1717,2207,1092,177,4964,134,78,58.2,56,41.8,2580,13669,7225,161,111,40,135,90,2925,283,22,10,2953,3955,74.7,50825,19634,8,8.7,7.9,-0.7,68,197,56,11,284,13.4,0.3458207452165156,0.4445115810674723,0.21993957703927491,6.8,1.1,28.4,16.1,13.4,171.7,220.7,109.2,QF,1,10,10,900,10,10,1,36,26,77.8,3,3,4,3,30,2,2,0,0,1,10,10,2,0,1,0,13.3,0.32999999999999996,3.3,0.32999999999999996,45,178,25.3,193,36,60.1,41.4,116,9,7.8,7,0.7,13.2,22,10,176,107,93,67,16,218,42.2,126,86,27,59,110,286,180,1,11.6,17.6,11,28.6,9.3,1.6,Overperformed,0.6079545454545454
Atlético Madrid,22/23,GR,22,6,168,28,128,9,6,13,6,6,7,1.1700000000000002,22,6,4,95,34,35.8,15.83,5.67,0.04,0.12000000000000001,18.5,4,0,2,9.5,7.8,0.08,-5.5,-3.8,0.05357142857142857,Underperformed,GR,22,56.5,6,4301,288,1098,2077,1153,148,4299,89,40,44.9,42,47.2,2849,13512,6392,111,104,27,86,59,3024,281,22,6,3047,3674,82.9,51306,16783,3,5.3,4.7,-2.3,65,235,58,19,286,14.833333333333334,0.2552894675656824,0.4829109509416415,0.2680771913508486,10.833333333333334,3.1666666666666665,47.666666666666664,18.5,14.833333333333334,183,346.1666666666667,192.16666666666666,GR,2,6,6,540,6,9,1.5,27,18,70.4,1,2,3,1,16.7,1,1,0,0,2,6,9,1,0,0,0,9.9,0.32999999999999996,0.9,0.15000000000000002,17,56,30.4,99,27,30.3,33.3,53,3,5.7,4,0.6699999999999999,9.3,22,6,85,48,38,30,17,79,60.8,31,81,21,60,42,127,79,2,8.833333333333334,14.166666666666666,7,21.166666666666668,6.333333333333333,2.8333333333333335,Overperformed,0.5647058823529412
Barcelona,18/19,SF,23,12,360,30,275,14,24,21,20,6,43,3.58,23,12,25,199,77,38.7,16.58,6.42,0.12000000000000001,0.31,18,13,1,1,23.1,22.3,0.11,1.9,1.7,0.03888888888888889,Overperformed,SF,23,61.4,12,9738,777,2460,5027,2321,309,9737,212,129,60.8,83,39.2,5498,27244,14770,260,241,79,131,110,7398,558,23,12,7437,8522,87.3,117990,37319,18,17.9,18,0.1,149,462,122,3,561,17.666666666666668,0.2526186075169439,0.5162250975559664,0.238344629287328,12.416666666666666,0.25,46.75,21.666666666666668,17.666666666666668,205,418.9166666666667,193.41666666666666,SF,2,12,12,1080,12,10,0.8300000000000001,42,32,76.2,8,3,1,6,50,0,0,0,0,2,12,10,0,0,2,0,12.4,0.31,2.4,0.2,57,109,52.3,337,71,21.7,30.6,145,7,4.8,8,0.6699999999999999,11.3,23,12,200,128,82,94,24,166,45.8,90,129,39,90,121,321,198,12,12.083333333333334,16.666666666666668,10.083333333333334,26.75,6.833333333333333,2,Overperformed,0.64
Barcelona,19/20,QF,24,9,188,20.89,144,8,13,8,13,2,22,2.44,24,9,13,103,42,40.8,11.44,4.67,0.12000000000000001,0.29000000000000004,17.8,8,1,1,14.4,13.6,0.13,-1.4,-1.6,0.0425531914893617,Underperformed,QF,24,57,9,6898,679,1800,3497,1662,191,6897,206,144,69.9,62,30.1,4358,22417,12123,180,182,41,103,85,5181,404,24,9,5214,6023,86.6,86873,25778,10,11.5,9.7,-1.5,77,392,81,8,407,22.88888888888889,0.2609452015076834,0.5069585387068716,0.24093940272542766,8.555555555555555,0.8888888888888888,45.22222222222222,20,22.88888888888889,200,388.55555555555554,184.66666666666666,QF,2,9,9,810,9,14,1.56,48,33,72.9,5,3,1,2,22.2,2,1,1,0,2,9,14,1,0,0,0,17.3,0.35,3.3,0.37,26,67,38.8,262,53,20.6,31.2,103,3,2.9,4,0.44,10.5,24,9,118,75,49,51,18,147,38.8,90,93,34,59,108,226,140,7,11.444444444444445,13.11111111111111,12,25.11111111111111,5.444444444444445,2,Overperformed,0.635593220338983
Barcelona,20/21,R16,27,8,266,33.25,211,9,17,7,19,3,35,4.37,27,8,18,137,55,40.1,17.12,6.87,0.09,0.22,18.5,8,6,7,20.4,15.4,0.11,-2.4,-3.4,0.03383458646616541,Underperformed,R16,27,62.1,8,6940,395,1271,3304,2403,288,6933,187,115,61.5,72,38.5,4466,21740,11770,224,187,73,89,96,5494,480,27,8,5515,6151,89.7,79824,23314,12,13.6,15.1,-1.6,109,410,113,14,484,23.375,0.18314121037463976,0.4760806916426513,0.3462536023054755,13.625,1.75,60.5,28,23.375,158.875,413,300.375,R16,2,8,8,720,8,10,1.25,29,19,79.3,5,1,2,3,37.5,4,4,0,0,2,8,10,4,0,0,0,12.8,0.32,2.8,0.35,15,32,46.9,168,29,12.5,23.3,67,0,0,9,1.1300000000000001,20.7,27,8,109,60,38,46,25,131,36.6,83,72,16,56,88,197,64,3,8.375,13.625,11,24.625,4.75,3.125,Overperformed,0.5504587155963303
Barcelona,21/22,GR,23,6,116,19.330000000000002,90,13,5,3,4,1,2,0.32999999999999996,23,6,2,60,11,18.3,10,1.83,0.03,0.18,16.8,0,0,0,6.5,6.5,0.11,-4.5,-4.5,0.11206896551724138,Underperformed,GR,23,57.8,6,4303,331,1036,2168,1140,144,4303,113,77,68.1,36,31.9,2723,13501,7284,142,124,35,91,80,3166,305,23,6,3185,3747,85,53967,17042,1,5.5,7,-4.5,54,232,57,15,309,18.833333333333332,0.2407622588891471,0.5038345340460144,0.26493144317917733,9,2.5,51.5,23.666666666666668,18.833333333333332,172.66666666666666,361.3333333333333,190,GR,1,6,6,540,6,9,1.5,25,16,68,2,1,3,3,50,1,1,0,0,1,6,9,1,0,0,0,8.4,0.31,-0.6,-0.1,19,43,44.2,183,25,18.6,27.3,36,4,11.1,5,0.8300000000000001,14.8,23,6,101,61,37,46,18,116,44.8,64,47,11,36,63,164,55,1,6,16.833333333333332,10.5,27.333333333333332,6.166666666666667,3,Underperformed,0.6039603960396039
Barcelona,22/23,GR,26,6,166,27.67,129,10,9,5,6,7,23,3.8299999999999996,26,6,12,90,33,36.7,15,5.5,0.13,0.36,16.7,2,0,0,9.9,9.9,0.11,2.1,2.1,0.060240963855421686,Overperformed,GR,26,64.8,6,4658,323,977,2308,1402,194,4658,130,51,39.2,65,50,3126,16679,8903,167,135,36,84,63,3448,357,26,6,3476,4033,86.2,59905,19061,10,8.2,10.5,1.8,71,343,84,18,358,21.666666666666668,0.20974667239158437,0.49549162730785745,0.30098754830399316,11.833333333333334,3,59.666666666666664,27.833333333333332,21.666666666666668,162.83333333333334,384.6666666666667,233.66666666666666,GR,2,6,6,540,6,12,2,30,18,63.3,2,1,3,0,0,1,1,0,0,2,6,12,1,0,2,0,12.6,0.4,0.6,0.1,25,38,65.8,165,27,17.6,20,59,1,1.7,6,1,8,26,6,94,58,31,44,19,69,55.1,31,60,20,40,51,145,58,3,9.833333333333334,15.666666666666666,8.5,24.166666666666668,5.166666666666667,3.1666666666666665,Overperformed,0.6170212765957447
Başakşehir,20/21,GR,21,6,106,17.67,83,4,8,3,7,1,11,1.83,21,6,7,64,22,34.4,10.67,3.67,0.11,0.32,19.8,6,0,0,5.2,5.2,0.08,1.8,1.8,0.03773584905660377,Overperformed,GR,21,42.8,6,3468,388,1192,1515,800,90,3468,95,50,52.6,45,47.4,2117,10902,5293,122,94,26,91,44,2129,188,21,6,2146,2773,77.4,37081,13710,5,4.4,4.4,0.6,48,128,34,9,195,15.833333333333334,0.34371395617070355,0.43685121107266434,0.2306805074971165,8,1.5,32.5,20.333333333333332,15.833333333333334,198.66666666666666,252.5,133.33333333333334,GR,1,6,6,540,6,18,3,36,18,55.6,1,0,5,0,0,2,2,0,0,1,6,18,2,0,2,0,12.1,0.28,-5.9,-0.98,37,92,40.2,141,29,48.9,39.4,71,3,4.2,12,2,15.5,21,6,72,34,36,29,7,114,35.1,74,91,32,59,78,150,103,2,11.833333333333334,12,13,25,6,1.1666666666666667,Underperformed,0.4722222222222222
Bayern Munich,18/19,R16,20,8,185,23.12,133,18,15,10,5,4,29,3.62,20,8,15,109,44,40.4,13.62,5.5,0.12000000000000001,0.3,16.8,4,2,2,14.7,13.2,0.13,0.3,-0.2,0.0972972972972973,Overperformed,R16,20,56.9,8,5916,510,1962,2827,1163,215,5914,125,69,55.2,56,44.8,3543,19116,10448,204,144,61,102,99,4137,368,20,8,4168,5025,82.9,75753,23334,9,11.1,10.4,-2.1,80,244,79,10,371,15.625,0.3316430020283976,0.47785665990534143,0.19658553076402974,10,1.25,46.375,25.5,15.625,245.25,353.375,145.375,R16,1,8,8,720,8,8,1,30,22,76.7,4,3,1,4,50,1,1,0,0,1,8,8,1,0,1,0,8.4,0.25,0.4,0.06,43,102,42.2,293,47,28.3,30.1,80,1,1.3,9,1.1300000000000001,17.9,20,8,151,94,69,66,16,137,35.8,88,96,20,76,132,283,131,4,10,18.875,16.5,35.375,8.625,2,Overperformed,0.6225165562913907
Bayern Munich,19/20,W,20,11,411,37.36,317,23,20,26,14,11,73,6.64,20,11,43,239,97,40.6,21.73,8.82,0.17,0.42000000000000004,17.2,7,2,2,35.5,34,0.15000000000000002,7.5,7,0.05596107055961071,Overperformed,W,20,63.8,11,8620,593,2102,4182,2397,410,8618,210,128,61,82,39,5469,27506,15318,315,202,89,137,70,6408,694,20,11,6436,7516,85.6,115971,36605,37,25.3,21.6,11.7,175,498,167,33,694,19.09090909090909,0.24385150812064965,0.4851508120649652,0.27807424593967517,15.909090909090908,3,63.09090909090909,28.636363636363637,19.09090909090909,191.0909090909091,380.1818181818182,217.9090909090909,W,1,11,11,990,11,8,0.73,34,27,79.4,11,0,0,6,54.5,1,1,0,0,1,11,8,1,0,0,1,9,0.25,2,0.19,37,77,48.1,428,58,17.3,27.5,90,2,2.2,31,2.82,23.6,20,11,189,122,60,93,36,226,40.7,134,94,14,80,109,298,110,6,8.181818181818182,17.181818181818183,9.909090909090908,27.09090909090909,5.454545454545454,3.272727272727273,Overperformed,0.6455026455026455
Bayern Munich,20/21,QF,26,10,293,29.3,210,21,24,14,15,9,45,4.5,26,10,25,162,57,35.2,16.2,5.7,0.14,0.39,18.1,8,3,3,21.8,19.4,0.12000000000000001,3.2,2.6,0.07167235494880546,Overperformed,QF,26,59.6,10,7454,578,2014,3451,2054,286,7451,221,136,61.5,85,38.5,4573,25822,14496,271,203,64,156,92,5328,579,26,10,5362,6355,84.4,95310,30508,18,15.2,16.3,2.8,119,420,112,26,585,22.1,0.27019050174403003,0.46297290045613093,0.27555674805473573,11.9,2.6,58.5,27.1,22.1,201.4,345.1,205.4,QF,2,10,10,900,10,10,1,48,38,79.2,8,1,1,3,30,0,0,0,0,2,10,10,0,0,1,0,15.2,0.32999999999999996,5.2,0.52,32,68,47.1,341,68,17.3,27.5,111,3,2.7,28,2.8,21.1,26,10,157,77,68,64,25,161,38.5,99,112,21,91,126,283,147,3,11.1,15.7,12.6,28.3,6.8,2.5,Overperformed,0.49044585987261147
Bayern Munich,21/22,QF,24,10,342,34.2,261,16,30,18,12,5,54,5.4,24,10,30,186,66,35.5,18.6,6.6,0.15000000000000002,0.41000000000000003,18.4,9,3,4,26.3,23.3,0.13,3.7,3.7,0.04678362573099415,Overperformed,QF,24,62.9,10,7713,559,2009,3459,2308,348,7709,236,162,68.6,74,31.4,5223,25172,13674,238,195,63,158,86,5656,701,24,10,5697,6637,85.8,100704,35472,23,18.7,16.6,4.3,143,586,149,31,705,23.6,0.26046933748217294,0.4484636328276935,0.29923505769480097,14.3,3.1,70.5,23.8,23.6,200.9,345.9,230.8,QF,2,10,10,900,10,7,0.7,25,18,72,7,2,1,4,40,0,0,0,0,2,10,7,0,0,0,0,7.9,0.31,0.9,0.09,41,67,61.2,351,50,17.4,27.4,72,3,4.2,26,2.6,23.1,24,10,172,98,70,70,32,168,42.9,96,102,21,81,112,284,99,3,7.2,17.2,11.2,28.4,7,3.2,Overperformed,0.5697674418604651
Bayern Munich,22/23,QF,24,10,302,30.2,238,12,24,15,9,4,39,3.9,24,10,21,167,72,43.1,16.7,7.2,0.12000000000000001,0.28,18.2,8,1,1,19.4,18.6,0.11,1.6,1.4,0.039735099337748346,Overperformed,QF,24,56.1,10,7288,705,2305,3211,1838,294,7287,232,121,52.2,88,37.9,4893,25909,13199,249,162,64,155,114,5241,538,24,10,5277,6096,86.6,92687,30813,19,15.5,13.5,3.5,129,464,106,11,541,23.2,0.31627332601536773,0.44058726673984633,0.2521953896816685,12.9,1.1,54.1,24.9,23.2,230.5,321.1,183.8,QF,3,10,10,900,10,6,0.6,36,30,83.3,8,1,1,7,70,1,0,0,1,3,10,6,0,0,1,0,10.6,0.3,4.6,0.46,24,62,38.7,326,45,16.6,33.2,113,2,1.8,7,0.7,NA,24,10,189,118,94,69,26,175,45.7,95,146,34,112,120,309,131,5,11.3,18.9,12,30.9,9.4,2.6,Overperformed,0.6243386243386243
